number,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
734,TrollhÃ¤ttan,Trollhattan,58.2671,12.3,Sweden,SE,SWE,VÃ¤stra GÃ¶taland,minor,44543,1752863731
735,PÃ¤rnu,Parnu,58.3747,24.5136,Estonia,EE,EST,PÃ¤rnumaa,admin,44192,1233955054
736,Vichy,Vichy,46.1171,3.4167,France,FR,FRA,Auvergne-RhÃ´ne-Alpes,minor,43158,1250084403
737,Ventspils,Ventspils,57.3899,21.5606,Latvia,LV,LVA,Ventspils,admin,42884,1428112098
738,Dieppe,Dieppe,49.9337,1.0833,France,FR,FRA,Normandie,minor,42461,1250006284
739,Lovech,Lovech,43.138,24.719,Bulgaria,BG,BGR,Lovech,admin,42211,1100374163
740,Miercurea-Ciuc,Miercurea-Ciuc,46.361,25.524,Romania,RO,ROU,Harghita,admin,42029,1642603145
741,Faro,Faro,37.0171,-7.9333,Portugal,PT,PRT,Faro,admin,41355,1620330407
742,Bastia,Bastia,42.7032,9.45,France,FR,FRA,Corsica,,41001,1250664815
743,Perth,Perth,56.4003,-3.47,United Kingdom,GB,GBR,Perth and Kinross,admin,39654,1826081674
744,SalgÃ³tarjÃ¡n,Salgotarjan,48.105,19.826,Hungary,HU,HUN,NÃ³grÃ¡d,admin,39640,1348290189
745,DÃºn Dealgan,Dun Dealgan,54.0004,-6.4167,Ireland,IE,IRL,Louth,admin,38884,1372735852
746,KÃ©rkyra,Kerkyra,39.6154,19.9147,Greece,GR,GRC,IonÃ­a NÃ­sia,admin,38517,1300093403
747,RÄ“zekne,Rezekne,56.5,27.3166,Latvia,LV,LVA,RÄ“zeknes Novads,admin,38340,1428895373
748,Chur,Chur,46.85,9.5,Switzerland,CH,CHE,GraubÃ¼nden,admin,38293,1756471395
749,Razgrad,Razgrad,43.534,26.536,Bulgaria,BG,BGR,Razgrad,admin,38285,1100143131
750,Salekhard,Salekhard,66.535,66.61,Russia,RU,RUS,Yamalo-Nenetskiy Avtonomnyy Okrug,admin,38025,1643083395
751,Å ibenik,Sibenik,43.7272,15.9058,Croatia,HR,HRV,Å ibensko-Kninska Å½upanija,admin,37112,1191444936
752,Dubrovnik,Dubrovnik,42.6609,18.0914,Croatia,HR,HRV,DubrovaÄko-Neretvanska Å½upanija,admin,36994,1191004286
753,Drogheda,Drogheda,53.7193,-6.3478,Ireland,IE,IRL,Louth,,36533,1372750233
754,Falun,Falun,60.613,15.647,Sweden,SE,SWE,Dalarna,admin,36477,1752939220
755,Dover,Dover,51.1337,1.3,United Kingdom,GB,GBR,Kent,,36384,1826963129
756,Beja,Beja,38.014,-7.863,Portugal,PT,PRT,Beja,admin,35854,1620050458
757,Shumerlya,Shumerlya,55.4848,46.4244,Russia,RU,RUS,Chuvashiya,,35230,1643065597
758,Karlskrona,Karlskrona,56.203,15.296,Sweden,SE,SWE,Blekinge,admin,35212,1752316086
759,Kalmar,Kalmar,56.667,16.3666,Sweden,SE,SWE,Kalmar,admin,35024,1752640618
760,Viborg,Viborg,56.4333,9.4,Denmark,DK,DNK,Midtjylland,admin,34831,1208606810
761,Rovaniemi,Rovaniemi,66.5,25.7159,Finland,FI,FIN,Lappi,admin,34781,1246718173
762,BraganÃ§a,Braganca,41.808,-6.755,Portugal,PT,PRT,BraganÃ§a,admin,34375,1620281131
763,SzekszÃ¡rd,Szekszard,46.344,18.713,Hungary,HU,HUN,Tolna,admin,34174,1348026284
764,BodÃ¸,Bodo,67.2468,14.399,Norway,NO,NOR,Nordland,admin,34073,1578023501
765,Aosta,Aosta,45.737,7.315,Italy,IT,ITA,Valle dâ€™Aosta,admin,34062,1380291310
766,Castelo Branco,Castelo Branco,39.811,-7.488,Portugal,PT,PRT,Castelo Branco,admin,33479,1620277400
767,Kotovsk,Kotovsk,52.5947,41.5044,Russia,RU,RUS,Tambovskaya Oblastâ€™,,33077,1643608746
768,Fribourg,Fribourg,46.8,7.15,Switzerland,CH,CHE,Fribourg,admin,32827,1756145667
769,Guarda,Guarda,40.541,-7.262,Portugal,PT,PRT,Guarda,admin,32111,1620174984
770,NeuchÃ¢tel,Neuchatel,46.999,6.923,Switzerland,CH,CHE,NeuchÃ¢tel,admin,31270,1756726571
771,Kouvola,Kouvola,60.876,26.709,Finland,FI,FIN,Kymenlaakso,admin,31133,1246167296
772,Dumfries,Dumfries,55.0671,-3.55,United Kingdom,GB,GBR,Dumfries and Galloway,admin,31044,1826801547
773,Arendal,Arendal,58.4648,8.766,Norway,NO,NOR,Aust-Agder,admin,30916,1578533046
774,Hamar,Hamar,60.82,11.069,Norway,NO,NOR,Hedmark,admin,29479,1578111692
775,SantarÃ©m,Santarem,39.231,-8.682,Portugal,PT,PRT,SantarÃ©m,admin,29385,1620315932
776,MytilÃ­ni,Mytilini,39.1104,26.5546,Greece,GR,GRC,VoreÃ­o AigaÃ­o,admin,29328,1300101706
777,TrÃ­poli,Tripoli,37.5091,22.3794,Greece,GR,GRC,PeloponnÃ­sos,admin,28970,1300131630
778,HillerÃ¸d,Hillerod,55.9333,12.3167,Denmark,DK,DNK,Hovedstaden,admin,28313,1208278269
779,NykÃ¶ping,Nykoping,58.764,17.015,Sweden,SE,SWE,SÃ¶dermanland,admin,27582,1752377083
780,Bregenz,Bregenz,47.5167,9.7667,Austria,AT,AUT,Vorarlberg,admin,26928,1040174258
781,Tralee,Tralee,52.2667,-9.7167,Ireland,IE,IRL,Kerry,admin,26384,1372403494
782,Viseu,Viseu,40.657,-7.91,Portugal,PT,PRT,Viseu,admin,26364,1620291266
783,CovilhÃ£,Covilha,40.2833,-7.5,Portugal,PT,PRT,Castelo Branco,minor,24828,1620284248
784,GjirokastÃ«r,Gjirokaster,40.079,20.149,Albania,AL,ALB,GjirokastÃ«r,admin,23437,1008368062
785,Zug,Zug,47.179,8.487,Switzerland,CH,CHE,Zug,admin,23435,1756703208
786,Visby,Visby,57.6337,18.3,Sweden,SE,SWE,Gotland,admin,22593,1752027172
787,Narâ€™yan-Mar,Nar'yan-Mar,67.6474,53.0574,Russia,RU,RUS,Nenetskiy Avtonomnyy Okrug,admin,21658,1643685127
788,Kilkenny,Kilkenny,52.6545,-7.2523,Ireland,IE,IRL,Kilkenny,admin,21589,1372926521
789,Omagh,Omagh,54.6,-7.3,United Kingdom,GB,GBR,Fermanagh and Omagh,admin,21056,1826686995
790,Penzance,Penzance,50.1337,-5.55,United Kingdom,GB,GBR,Cornwall,,20812,1826600240
791,Viljandi,Viljandi,58.3639,25.59,Estonia,EE,EST,Viljandimaa,admin,20309,1233067368
792,Sligo,Sligo,54.2671,-8.4833,Ireland,IE,IRL,Sligo,admin,20228,1372185807
793,Lillehammer,Lillehammer,61.1333,10.5,Norway,NO,NOR,Oppland,admin,19542,1578724478
794,LezhÃ«,Lezhe,41.788,19.654,Albania,AL,ALB,LezhÃ«,admin,18695,1008889153
795,Molde,Molde,62.7483,7.1833,Norway,NO,NOR,MÃ¸re og Romsdal,admin,18594,1578540727
796,Kirsanov,Kirsanov,52.6574,42.7174,Russia,RU,RUS,Tambovskaya Oblastâ€™,,17975,1643643425
797,KukÃ«s,Kukes,42.083,20.434,Albania,AL,ALB,KukÃ«s,admin,17832,1008649172
798,HÃ¤rnÃ¶sand,Harnosand,62.634,17.934,Sweden,SE,SWE,VÃ¤sternorrland,admin,17016,1752644953
799,Vila Real,Vila Real,41.294,-7.737,Portugal,PT,PRT,Vila Real,admin,17001,1620292123
800,Portalegre,Portalegre,39.29,-7.423,Portugal,PT,PRT,Portalegre,admin,15581,1620475518
801,Viana do Castelo,Viana do Castelo,41.6962,-8.8441,Portugal,PT,PRT,Viana do Castelo,admin,15555,1620680440
802,Solothurn,Solothurn,47.212,7.537,Switzerland,CH,CHE,Solothurn,,14853,1756021237
803,Peshkopi,Peshkopi,41.6833,20.4333,Albania,AL,ALB,DibÃ«r,admin,14848,1008412550
804,Schwyz,Schwyz,47.02,8.648,Switzerland,CH,CHE,Schwyz,admin,14177,1756270644
805,Eisenstadt,Eisenstadt,47.8333,16.5333,Austria,AT,AUT,Burgenland,admin,13165,1040751740
806,Liestal,Liestal,47.483,7.737,Switzerland,CH,CHE,Basel-Landschaft,admin,12832,1756371637
807,ErmoÃºpoli,Ermoupoli,37.4504,24.9333,Greece,GR,GRC,NotÃ­o AigaÃ­o,admin,12260,1300072209
808,Haapsalu,Haapsalu,58.9431,23.5414,Estonia,EE,EST,LÃ¤Ã¤nemaa,admin,11805,1233967642
809,Steinkjer,Steinkjer,64.0171,11.5,Norway,NO,NOR,,admin,11274,1578642047
810,Anadyrâ€™,Anadyr',64.737,177.475,Russia,RU,RUS,Chukotskiy Avtonomnyy Okrug,admin,10332,1643453469
811,Fort William,Fort William,56.8165,-5.1121,United Kingdom,GB,GBR,Highland,,9652,1826742184
812,Sarnen,Sarnen,46.899,8.243,Switzerland,CH,CHE,Obwalden,admin,9410,1756451113
813,Altdorf,Altdorf,46.879,8.638,Switzerland,CH,CHE,Uri,admin,8678,1756957308
814,Kirkwall,Kirkwall,58.967,-2.95,United Kingdom,GB,GBR,Orkney Islands,admin,8500,1826208698
815,Stans,Stans,46.95,8.3833,Switzerland,CH,CHE,Nidwalden,admin,7475,1756019042
816,SorÃ¸,Soro,55.433,11.5667,Denmark,DK,DNK,SjÃ¦lland,admin,7167,1208841384
817,Lerwick,Lerwick,60.15,-1.15,United Kingdom,GB,GBR,Shetland Islands,admin,6594,1826896340
818,Diekirch,Diekirch,49.8833,6.1667,Luxembourg,LU,LUX,Diekirch,admin,6242,1442382721
819,Monaghan,Monaghan,54.25,-6.9667,Ireland,IE,IRL,Monaghan,admin,5937,1372399438
820,Glarus,Glarus,47.05,9.0667,Switzerland,CH,CHE,Glarus,admin,5681,1756095767
821,Appenzell,Appenzell,47.3333,9.4167,Switzerland,CH,CHE,Appenzell Innerrhoden,admin,5649,1756770881
822,VadsÃ¸,Vadso,70.0966,29.7657,Norway,NO,NOR,Finnmark,admin,5139,1578863149
823,Ros ComÃ¡in,Ros Comain,53.6333,-8.1833,Ireland,IE,IRL,Roscommon,admin,4860,1372870384
824,Grevenmacher,Grevenmacher,49.7,6.3333,Luxembourg,LU,LUX,Grevenmacher,admin,3958,1442392954
825,Hackney,Hackney,51.55,-0.05,United Kingdom,GB,GBR,Hackney,admin,,1826413202
826,Camden Town,Camden Town,51.5457,-0.1403,United Kingdom,GB,GBR,Camden,admin,,1826810136
827,Islington,Islington,51.5333,-0.1,United Kingdom,GB,GBR,Islington,admin,,1826267810
828,Kensington,Kensington,51.5047,-0.1998,United Kingdom,GB,GBR,Kensington and Chelsea,admin,,1826583042
829,Hammersmith,Hammersmith,51.5,-0.2333,United Kingdom,GB,GBR,Hammersmith and Fulham,admin,,1826090130
830,East Ham,East Ham,51.5333,0.05,United Kingdom,GB,GBR,Newham,admin,,1826587417
831,Camberwell,Camberwell,51.4736,-0.0916,United Kingdom,GB,GBR,Southwark,admin,,1826778761
832,Walthamstow,Walthamstow,51.6,-0.0333,United Kingdom,GB,GBR,Waltham Forest,admin,,1826009890
833,City of Westminster,City of Westminster,51.5,-0.1167,United Kingdom,GB,GBR,Westminster,admin,,1826759011
834,Lambeth,Lambeth,51.5,-0.1167,United Kingdom,GB,GBR,Lambeth,admin,,1826545364
835,Catford,Catford,51.45,-0.0167,United Kingdom,GB,GBR,Lewisham,admin,,1826259011
836,Hove,Hove,50.8333,-0.1833,United Kingdom,GB,GBR,Brighton and Hove,admin,,1826419818
837,Northampton,Northampton,52.25,-0.8833,United Kingdom,GB,GBR,Northamptonshire,admin,,1826806747
838,Sliema,Sliema,35.9125,14.5019,Malta,MT,MLT,Sliema,admin,,1470229986
839,Ealing,Ealing,51.4888,-0.3048,United Kingdom,GB,GBR,Ealing,admin,,1826730060
840,Poplar,Poplar,51.5,-0.0167,United Kingdom,GB,GBR,Tower Hamlets,admin,,1826020769
841,Ilford,Ilford,51.5597,0.0708,United Kingdom,GB,GBR,Redbridge,admin,,1826381000
842,Wandsworth,Wandsworth,51.45,-0.2,United Kingdom,GB,GBR,Wandsworth,admin,,1826844924
843,Fgura,Fgura,35.8703,14.5133,Malta,MT,MLT,Fgura,admin,,1470252842
844,Birkirkara,Birkirkara,35.8972,14.4611,Malta,MT,MLT,Birkirkara,admin,,1470754290
845,Wood Green,Wood Green,51.6,-0.1167,United Kingdom,GB,GBR,Haringey,admin,,1826902664
846,Ä¦amrun,Hamrun,35.8847,14.4844,Malta,MT,MLT,Ä¦amrun,admin,,1470141385
847,Enfield,Enfield,51.6667,-0.0667,United Kingdom,GB,GBR,Enfield,admin,,1826362409
848,Darlington,Darlington,54.5333,-1.5667,United Kingdom,GB,GBR,Darlington,admin,,1826453946
849,Senglea,Senglea,35.8875,14.5169,Malta,MT,MLT,Isla,admin,,1470598185
850,South Shields,South Shields,54.9878,-1.4214,United Kingdom,GB,GBR,South Tyneside,admin,,1826396004
851,Rochester,Rochester,51.3833,0.5167,United Kingdom,GB,GBR,Medway,admin,,1826559634
852,Maidstone,Maidstone,51.2667,0.5167,United Kingdom,GB,GBR,Kent,admin,,1826000009
853,Tarxien,Tarxien,35.8658,14.515,Malta,MT,MLT,Tarxien,admin,,1470230507
854,Piran,Piran,45.5278,13.5706,Slovenia,SI,SVN,Piran,admin,,1705085466
855,Morden,Morden,51.3982,-0.1984,United Kingdom,GB,GBR,Merton,admin,,1826667903
856,Barnsley,Barnsley,53.55,-1.4833,United Kingdom,GB,GBR,Barnsley,admin,,1826597621
857,Floriana,Floriana,35.8958,14.5083,Malta,MT,MLT,Floriana,admin,,1470089344
858,Grays,Grays,51.4833,0.3333,United Kingdom,GB,GBR,Thurrock,admin,,1826003493
859,Imsida,Imsida,35.8925,14.4828,Malta,MT,MLT,Imsida,admin,,1470395922
860,Wembley,Wembley,51.55,-0.2833,United Kingdom,GB,GBR,Brent,admin,,1826635683
861,Weston-super-Mare,Weston-super-Mare,51.3458,-2.9678,United Kingdom,GB,GBR,North Somerset,admin,,1826189795
862,Santa Venera,Santa Venera,35.8908,14.4742,Malta,MT,MLT,Santa Venera,admin,,1470983296
863,Ashton-under-Lyne,Ashton-under-Lyne,53.5,-2.1,United Kingdom,GB,GBR,Tameside,admin,,1826027715
864,PietÃ ,Pieta,35.8947,14.495,Malta,MT,MLT,PietÃ ,admin,,1470444069
865,Taâ€™ Xbiex,Ta' Xbiex,35.8992,14.4944,Malta,MT,MLT,Taâ€™ Xbiex,admin,,1470129537
866,Newport,Newport,50.7,-1.3,United Kingdom,GB,GBR,Isle of Wight,admin,,1826718687
867,Croydon,Croydon,51.3833,-0.1,United Kingdom,GB,GBR,Croydon,admin,,1826126675
868,Barri,Barri,51.4067,-3.2694,United Kingdom,GB,GBR,"Vale of Glamorgan, The",admin,,1826605492
869,Stretford,Stretford,53.45,-2.3167,United Kingdom,GB,GBR,Trafford,admin,,1826645692
870,Kingston upon Thames,Kingston upon Thames,51.4167,-0.2833,United Kingdom,GB,GBR,Kingston upon Thames,admin,,1826345299
871,Hendon,Hendon,51.6,-0.2167,United Kingdom,GB,GBR,Barnet,admin,,1826052476
872,Sutton,Sutton,51.35,-0.2,United Kingdom,GB,GBR,Sutton,admin,,1826827095
873,Doncaster,Doncaster,53.5333,-1.1167,United Kingdom,GB,GBR,Doncaster,admin,,1826979494
874,Romford,Romford,51.5833,0.2,United Kingdom,GB,GBR,Havering,admin,,1826695421
875,GÅ¼ira,Gzira,35.9058,14.4881,Malta,MT,MLT,GÅ¼ira,admin,,1470739045
876,South Bank,South Bank,54.5667,-1.15,United Kingdom,GB,GBR,Redcar and Cleveland,admin,,1826839813
877,Worcester,Worcester,52.2,-2.2,United Kingdom,GB,GBR,Worcestershire,admin,,1826393854
878,Stockport,Stockport,53.4,-2.15,United Kingdom,GB,GBR,Stockport,admin,,1826228303
879,Paisley,Paisley,55.8333,-4.4333,United Kingdom,GB,GBR,Renfrewshire,admin,,1826549531
880,Uppsala,Uppsala,59.85,17.6333,Sweden,SE,SWE,Uppsala,admin,,1752953686
881,Uxbridge,Uxbridge,51.55,-0.4833,United Kingdom,GB,GBR,Hillingdon,admin,,1826505308
882,Shrewsbury,Shrewsbury,52.7167,-2.7333,United Kingdom,GB,GBR,Shropshire,admin,,1826283137
883,Lincoln,Lincoln,53.2333,-0.5333,United Kingdom,GB,GBR,Lincolnshire,admin,,1826312785
884,Wallasey,Wallasey,53.4333,-3.0667,United Kingdom,GB,GBR,Wirral,admin,,1826741418
885,Oldham,Oldham,53.55,-2.1167,United Kingdom,GB,GBR,Oldham,admin,,1826716070
886,Twickenham,Twickenham,51.4333,-0.3167,United Kingdom,GB,GBR,Richmond upon Thames,admin,,1826827915
887,Preston,Preston,53.7667,-2.7167,United Kingdom,GB,GBR,Lancashire,admin,,1826018478
888,Harrow,Harrow,51.5833,-0.3167,United Kingdom,GB,GBR,Harrow,admin,,1826648099
889,Rotherham,Rotherham,53.4333,-1.35,United Kingdom,GB,GBR,Rotherham,admin,,1826763937
890,Dorchester,Dorchester,50.7167,-2.4333,United Kingdom,GB,GBR,Dorset,admin,,1826909037
891,San Ä wann,San Gwann,35.9056,14.4761,Malta,MT,MLT,San Ä wann,admin,,1470073144
892,Newport,Newport,51.5833,-2.9833,United Kingdom,GB,GBR,Newport,admin,,1826018889
893,Port Talbot,Port Talbot,51.6,-3.7833,United Kingdom,GB,GBR,Neath Port Talbot,admin,,1826981147
894,Derby,Derby,52.9333,-1.5,United Kingdom,GB,GBR,Derby,admin,,1826333435
895,Hounslow,Hounslow,51.4667,-0.35,United Kingdom,GB,GBR,Hounslow,admin,,1826943293
896,Pont-y-pÅµl,Pont-y-pwl,51.7011,-3.0444,United Kingdom,GB,GBR,Torfaen,admin,,1826931206
897,Forfar,Forfar,56.65,-2.8833,United Kingdom,GB,GBR,Angus,admin,,1826527188
898,San Ä iljan,San Giljan,35.9197,14.4844,Malta,MT,MLT,San Ä iljan,admin,,1470707733
899,Widnes,Widnes,53.35,-2.7333,United Kingdom,GB,GBR,Halton,admin,,1826947686
900,Taunton,Taunton,51.0211,-3.1047,United Kingdom,GB,GBR,Somerset,admin,,1826959489
901,Dunleary,Dunleary,53.2925,-6.1286,Ireland,IE,IRL,DÃºn Laoghaire-Rathdown,admin,,1372038958
902,Dudley,Dudley,52.5,-2.0833,United Kingdom,GB,GBR,Dudley,admin,,1826052828
903,Wigan,Wigan,53.5333,-2.6167,United Kingdom,GB,GBR,Wigan,admin,,1826902223
904,Hereford,Hereford,52.05,-2.7167,United Kingdom,GB,GBR,Herefordshire,admin,,1826996583
905,Glenrothes,Glenrothes,56.2,-3.1833,United Kingdom,GB,GBR,Fife,admin,,1826270044
906,Rochdale,Rochdale,53.6167,-2.15,United Kingdom,GB,GBR,Rochdale,admin,,1826578106
907,Vittoriosa,Vittoriosa,35.8922,14.5183,Malta,MT,MLT,Birgu,admin,,1470805169
908,Aylesbury,Aylesbury,51.8167,-0.8,United Kingdom,GB,GBR,Buckinghamshire,admin,,1826391298
909,Balzan,Balzan,35.9003,14.455,Malta,MT,MLT,Balzan,admin,,1470875655
910,Wokingham,Wokingham,51.4167,-0.8333,United Kingdom,GB,GBR,Wokingham,admin,,1826878333
911,Truro,Truro,50.2617,-5.0433,United Kingdom,GB,GBR,Cornwall,admin,,1826586304
912,Simferopolâ€™,Simferopol',44.9572,34.1108,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",admin,,1804665958
913,Thornbury,Thornbury,51.6089,-2.5203,United Kingdom,GB,GBR,South Gloucestershire,admin,,1826096107
914,Bracknell,Bracknell,51.4167,-0.75,United Kingdom,GB,GBR,Bracknell Forest,admin,,1826880896
915,Trowbridge,Trowbridge,51.3189,-2.2086,United Kingdom,GB,GBR,Wiltshire,admin,,1826965204
916,Morpeth,Morpeth,55.1667,-1.6833,United Kingdom,GB,GBR,Northumberland,admin,,1826000022
917,Milton Keynes,Milton Keynes,52.0333,-0.7,United Kingdom,GB,GBR,Milton Keynes,admin,,1826291745
918,Caerfyrddin,Caerfyrddin,51.8592,-4.3117,United Kingdom,GB,GBR,Carmarthenshire,admin,,1826550370
919,Gloucester,Gloucester,51.8333,-2.25,United Kingdom,GB,GBR,Gloucestershire,admin,,1826932068
920,Newbury,Newbury,51.4,-1.3167,United Kingdom,GB,GBR,West Berkshire,admin,,1826103829
921,Qormi,Qormi,35.8783,14.4719,Malta,MT,MLT,Qormi,admin,,1470879234
922,Dalkeith,Dalkeith,55.8667,-3.0667,United Kingdom,GB,GBR,Midlothian,admin,,1826152382
923,Bangor,Bangor,54.6617,-5.6654,United Kingdom,GB,GBR,Ards and North Down,admin,,1826282262
924,Scunthorpe,Scunthorpe,53.5833,-0.65,United Kingdom,GB,GBR,North Lincolnshire,admin,,1826817883
925,Chelmsford,Chelmsford,51.7333,0.4833,United Kingdom,GB,GBR,Essex,admin,,1826876670
926,Motherwell,Motherwell,55.7833,-4,United Kingdom,GB,GBR,North Lanarkshire,admin,,1826854355
927,Mosta,Mosta,35.9092,14.4256,Malta,MT,MLT,Mosta,admin,,1470176983
